name,type,aggregatable,description,raw / calculated
assigned,keyword,TRUE,"Assignee name, coming from Bugzilla.",Data Source / Parsed
assigned_to_bot,boolean,TRUE,True if the given assignee is identified as a bot.,GrimoireLab / SortingHat
assigned_to_domain,keyword,TRUE,Domain associated to the assignee in SortingHat profile.,GrimoireLab / SortingHat
assigned_to_gender,keyword,TRUE,"Assignee gender, based on their name (disabled by default).",GrimoireLab / SortingHat
assigned_to_gender_acc,keyword,TRUE,Assignee gender accuracy (disabled by default).,GrimoireLab / SortingHat
assigned_to_id,keyword,TRUE,Assignee Id from SortingHat.,GrimoireLab / SortingHat
assigned_to_multi_org_names,keyword,TRUE,List of the assignee organizations from SortingHat profile.,GrimoireLab / SortingHat
assigned_to_name,keyword,TRUE,Assignee name.,GrimoireLab / SortingHat
assigned_to_org_name,keyword,TRUE,Assignee organization name.,GrimoireLab / SortingHat
assigned_to_user_name,keyword,TRUE,Assignee user name from SortingHat.,GrimoireLab / SortingHat
assigned_to_uuid,keyword,TRUE,Assignee's UUID from SortingHat profile.,GrimoireLab / SortingHat
assigned_to_detail_bot,boolean,TRUE,True if the given assignee is identified as a bot.,GrimoireLab / SortingHat
assigned_to_detail_domain,keyword,TRUE,Domain associated to the assignee in SortingHat profile.,GrimoireLab / SortingHat
assigned_to_detail_gender,keyword,TRUE,"Assignee gender, based on their name (disabled by default).",GrimoireLab / SortingHat
assigned_to_detail_gender_acc,keyword,TRUE,Assignee gender accuracy (disabled by default).,GrimoireLab / SortingHat
assigned_to_detail_id,keyword,TRUE,Assignee Id from SortingHat.,GrimoireLab / SortingHat
assigned_to_detail_multi_org_names,keyword,TRUE,List of the assignee organizations from SortingHat profile.,GrimoireLab / SortingHat
assigned_to_detail_name,keyword,TRUE,Assignee name.,GrimoireLab / SortingHat
assigned_to_detail_org_name,keyword,TRUE,Assignee organization name.,GrimoireLab / SortingHat
assigned_to_detail_user_name,keyword,TRUE,Assignee user name from SortingHat.,GrimoireLab / SortingHat
assigned_to_detail_uuid,keyword,TRUE,Assignee's UUID from SortingHat profile.,GrimoireLab / SortingHat
author_bot,boolean,TRUE,True/False if the author is a bot or not.,GrimoireLab / SortingHat
author_domain,keyword,TRUE,Author's domain name from SortingHat profile.,GrimoireLab / SortingHat
author_gender,keyword,TRUE,"Author gender, based on their name (disabled by default).",GrimoireLab / SortingHat
author_gender_acc,keyword,TRUE,Author gender accuracy (disabled by default).,GrimoireLab / SortingHat
author_id,keyword,TRUE,Author's ID from SortingHat profile.,GrimoireLab / SortingHat
author_name,keyword,TRUE,Author's name.,GrimoireLab / SortingHat
author_org_name,keyword,TRUE,Author's organization name from SortingHat profile.,GrimoireLab / SortingHat
author_multi_org_names,keyword,TRUE,List of the author organizations from SortingHat profile.,GrimoireLab / SortingHat
author_user_name,keyword,TRUE,Author's username from SortingHat profile.,GrimoireLab / SortingHat
author_uuid,keyword,TRUE,Author's UUID from SortingHat profile.,GrimoireLab / SortingHat
bug_id,keyword,TRUE,Id of the bug in Bugzilla.,Data Source / Parsed
changeddate_date,date,TRUE,Datetime when the bug was last changed.,Data Source / Parsed
changes,long,TRUE,Number of changes in the bug.,Data Source / Parsed
comments,long,TRUE,Number of comments in the bug.,Data Source / Parsed
component,keyword,TRUE,The component on which the bug was reported.,Data Source / Parsed
creation_date,date,TRUE,Datetime when the bug was created.,Data Source / Parsed
creation_ts,date,TRUE,Timestamp when the bug was created.,Data Source / Parsed
creator,keyword,TRUE,"Creator name, from Bugzilla.",Data Source / Parsed
creator_detail_bot,boolean,TRUE,True if the given Creator is identified as a bot.,GrimoireLab / SortingHat
creator_detail_domain,keyword,TRUE,Domain associated to the Creator in SortingHat profile.,GrimoireLab / SortingHat
creator_detail_gender,keyword,TRUE,"Creator gender, based on their name (disabled by default).",Data Source / Parsed
creator_detail_gender_acc,keyword,TRUE,Creator gender accuracy (disabled by default).,Data Source / Parsed
creator_detail_id,keyword,TRUE,Creator Id from SortingHat.,Data Source / Parsed
creator_detail_multi_org_names,keyword,TRUE,List of the Creator organizations from SortingHat profile.,GrimoireLab / SortingHat
creator_detail_name,keyword,TRUE,Creator name.,Data Source / Parsed
creator_detail_org_name,keyword,TRUE,Creator organization name.,GrimoireLab / SortingHat
creator_detail_user_name,keyword,TRUE,Creator user name from SortingHat.,Data Source / Parsed
creator_detail_uuid,keyword,TRUE,Creator's UUID from SortingHat profile.,GrimoireLab / SortingHat
delta_ts,date,TRUE,The timestamp of the last update.,Data Source / Parsed
description,keyword,TRUE,Long description of the bug.,Data Source / Parsed
description_analyzed,string,FALSE,Long description of the bug (analyzed).,Data Source / Parsed
grimoire_creation_date,date,TRUE,The creation date of the bug.,GrimoireLab
id,long,TRUE,The bug ID.,Data Source / Parsed
is_bugzilla_bug,long,TRUE,1 if the item type is a bug.,GrimoireLab
is_bugzillarest_bugrest,long,TRUE,1 if the bug comes from the Bugzillarest backend.,GrimoireLab
is_open,boolean,TRUE,True if the status of the bug is open.,GrimoireLab
keywords,keyword,TRUE,Set of keywords added to the bug.,Data Source / Parsed
labels,list,TRUE,Custom repository labels defined by the user.,Data Source / Parsed
last_comment_date,date,TRUE,Datetime when the last comment was posted to the bug,Data Source / Parsed
main_description,keyword,TRUE,Short description of the bug / title.,Data Source / Parsed
main_description_analyzed,string,FALSE,Short description of the bug / title (analyzed).,Data Source / Parsed
metadata__enriched_on,date,true,Date when the item was enriched.,GrimoireLab
metadata__gelk_backend_name,keyword,true,Name of the backend used to enrich information.,GrimoireLab
metadata__gelk_version,keyword,true,Version of the backend used to enrich information.,GrimoireLab
metadata__timestamp,date,true,Date when the item was stored in RAW index.,GrimoireLab
metadata__updated_on,date,true,Date when the item was updated in its original data source.,GrimoireLab
op_sys,keyword,TRUE,The operating system on which the bug was observed.,Data Source / Parsed
origin,keyword,TRUE,Original URL of the instance where the bug was retrieved from.,Data Source / Parsed
painless_last_comment_delay,float,TRUE,Time in days since the last comment was posted in the bug until the current time.,Data Source / Parsed
painless_time_to_now,float,TRUE,Contains the value of `timeopen_days` if the status is different from 'Closed' and the value of `resolution_days` otherwise.,Data Source / Parsed
platform,keyword,TRUE,The platform on which the bug was reported.,Data Source / Parsed
priority,keyword,TRUE,"The priority of the bug (P1 = most urgent, P5 = least urgent).",Data Source / Parsed
product,keyword,TRUE,The product on which the bug was reported.,Data Source / Parsed
project,keyword,TRUE,Project (metadata).,GrimoireLab / projects.json
project_1,keyword,TRUE,"Project (metadata, if more than one level is allowed in project hierarchy).",GrimoireLab / projects.json
qa_contact_bot,boolean,TRUE,True if the given QA Contact is identified as a bot.,GrimoireLab / SortingHat
qa_contact_detail_bot,boolean,TRUE,True if the given QA Contact is identified as a bot.,GrimoireLab / SortingHat
qa_contact_detail_domain,keyword,TRUE,Domain associated to the QA Contact in SortingHat profile.,GrimoireLab / SortingHat
qa_contact_detail_gender,keyword,TRUE,"QA Contact gender, based on their name (disabled by default).",Data Source / Parsed
qa_contact_detail_gender_acc,keyword,TRUE,QA Contact gender accuracy (disabled by default).,Data Source / Parsed
qa_contact_detail_id,keyword,TRUE,QA Contact Id from SortingHat.,Data Source / Parsed
qa_contact_detail_multi_org_names,keyword,TRUE,List of the QA Contact organizations from SortingHat profile.,GrimoireLab / SortingHat
qa_contact_detail_name,keyword,TRUE,QA Contact name.,Data Source / Parsed
qa_contact_detail_org_name,keyword,TRUE,QA Contact organization name.,GrimoireLab / SortingHat
qa_contact_detail_user_name,keyword,TRUE,QA Contact user name from SortingHat.,Data Source / Parsed
qa_contact_detail_uuid,keyword,TRUE,Creator's UUID from SortingHat profile.,GrimoireLab / SortingHat
qa_contact_domain,keyword,TRUE,Domain associated to the QA Contact in SortingHat profile.,GrimoireLab / SortingHat
qa_contact_gender,keyword,TRUE,"QA Contact gender, based on their name (disabled by default).",Data Source / Parsed
qa_contact_gender_acc,keyword,TRUE,QA Contact gender accuracy (disabled by default).,Data Source / Parsed
qa_contact_id,keyword,TRUE,QA Contact Id from SortingHat.,Data Source / Parsed
qa_contact_multi_org_names,keyword,TRUE,List of the QA Contact organizations from SortingHat profile.,GrimoireLab / SortingHat
qa_contact_name,keyword,TRUE,QA Contact name.,Data Source / Parsed
qa_contact_org_name,keyword,TRUE,QA Contact organization name.,GrimoireLab / SortingHat
qa_contact_user_name,keyword,TRUE,QA Contact user name from SortingHat.,Data Source / Parsed
qa_contact_uuid,keyword,TRUE,Creator's UUID from SortingHat profile.,GrimoireLab / SortingHat
reporter_bot,boolean,TRUE,True if the given Reporter is identified as a bot.,GrimoireLab / SortingHat
reporter_domain,keyword,TRUE,Domain associated to the Reporter in SortingHat profile.,GrimoireLab / SortingHat
reporter_gender,keyword,TRUE,"Reporter gender, based on their name (disabled by default).",Data Source / Parsed
reporter_gender_acc,keyword,TRUE,Reporter gender accuracy (disabled by default).,Data Source / Parsed
reporter_id,keyword,TRUE,Reporter Id from SortingHat.,Data Source / Parsed
reporter_multi_org_names,keyword,TRUE,List of the Reporter organizations from SortingHat profile.,GrimoireLab / SortingHat
reporter_name,keyword,TRUE,Reporter name.,Data Source / Parsed
reporter_org_name,keyword,TRUE,Reporter organization name.,GrimoireLab / SortingHat
reporter_user_name,keyword,TRUE,Reporter user name from SortingHat.,Data Source / Parsed
reporter_uuid,keyword,TRUE,Creator's UUID from SortingHat profile.,GrimoireLab / SortingHat
repository_labels,keyword,TRUE,Custom repository labels defined by the user.,GrimoireLab / projects.json
resolution,keyword,TRUE,The bug's resolution.,Data Source / Parsed
resolution_days,float,TRUE,Time in days between the bug's creation date and the date of the last change.,Data Source / Parsed
severity,keyword,TRUE,The bug's severity.,Data Source / Parsed
status,keyword,TRUE,The bug's status.,Data Source / Parsed
tag,keyword,TRUE,Original URL of the instance where the bug was retrieved from.,Data Source / Parsed
timeopen_days,float,TRUE,Time in days since the creation of the bug until the current date.,Data Source / Parsed
time_to_first_attention,float,TRUE,Time in days since the creation of the bug until the date of the first comment made in the bug by any user different from the author.,Data Source / Parsed
url,keyword,TRUE,The bug's URL.,Data Source / Parsed
uuid,keyword,TRUE,Perceval UUID.,Data Source / Parsed
whiteboard,keyword,TRUE,The bug's whiteboard field.,Data Source / Parsed
